"","Channel 7 Last (C)"
"00:00:00","25.316"
"00:00:10","25.284"
"00:00:20","25.241"
"00:00:30","25.242"
"00:00:40","25.246"
"00:00:50","25.268"
"00:01:00","25.327"
"00:01:10","25.383"
"00:01:20","25.440"
"00:01:30","25.512"
"00:01:40","25.602"
"00:01:50","25.684"
"00:02:00","25.773"
"00:02:10","25.890"
"00:02:20","25.974"
"00:02:30","26.101"
"00:02:40","26.207"
"00:02:50","26.321"
"00:03:00","26.458"
"00:03:10","26.594"
"00:03:20","26.758"
"00:03:30","26.876"
"00:03:40","27.014"
"00:03:50","27.140"
"00:04:00","27.278"
"00:04:10","27.407"
"00:04:20","27.556"
"00:04:30","27.705"
"00:04:40","27.853"
"00:04:50","28.006"
"00:05:00","28.141"
"00:05:10","28.280"
"00:05:20","28.433"
"00:05:30","28.592"
"00:05:40","28.715"
"00:05:50","28.847"
"00:06:00","28.987"
"00:06:10","29.130"
"00:06:20","29.257"
"00:06:30","29.386"
"00:06:40","29.513"
"00:06:50","29.630"
"00:07:00","29.739"
"00:07:10","29.837"
"00:07:20","29.956"
"00:07:30","30.080"
"00:07:40","30.212"
"00:07:50","30.299"
"00:08:00","30.399"
"00:08:10","30.479"
"00:08:20","30.597"
"00:08:30","30.662"
"00:08:40","30.697"
"00:08:50","30.801"
"00:09:00","30.881"
"00:09:10","30.960"
"00:09:20","31.055"
"00:09:30","31.127"
"00:09:40","31.229"
"00:09:50","31.317"
"00:10:00","31.387"
"00:10:10","31.446"
"00:10:20","31.513"
"00:10:30","31.577"
"00:10:40","31.607"
"00:10:50","31.664"
"00:11:00","31.707"
"00:11:10","31.752"
"00:11:20","31.810"
"00:11:30","31.847"
"00:11:40","31.907"
"00:11:50","31.987"
"00:12:00","32.024"
"00:12:10","32.077"
"00:12:20","32.122"
"00:12:30","32.173"
"00:12:40","32.179"
"00:12:50","32.231"
"00:13:00","32.310"
"00:13:10","32.321"
"00:13:20","32.374"
"00:13:30","32.440"
"00:13:40","32.489"
"00:13:50","32.515"
"00:14:00","32.552"
"00:14:10","32.580"
"00:14:20","32.612"
"00:14:30","32.652"
"00:14:40","32.687"
"00:14:50","32.706"
"00:15:00","32.754"
"00:15:10","32.774"
"00:15:20","32.825"
"00:15:30","32.856"
"00:15:40","32.882"
"00:15:50","32.898"
"00:16:00","32.921"
"00:16:10","32.956"
"00:16:20","32.924"
"00:16:30","33.000"
"00:16:40","33.020"
"00:16:50","33.017"
"00:17:00","33.051"
"00:17:10","33.103"
"00:17:20","33.088"
"00:17:30","33.099"
"00:17:40","33.139"
"00:17:50","33.173"
"00:18:00","33.208"
"00:18:10","33.192"
"00:18:20","33.190"
"00:18:30","33.278"
"00:18:40","33.335"
