t_0,t,temperature
,0.00,-24.821
,10.00,-24.803
,20.00,-24.828
,30.00,-24.786
,40.00,-24.705
,50.00,-24.592
,60.00,-24.448
,70.00,-24.311
,80.00,-24.143
,90.00,-23.995
,100.00,-23.858
,110.00,-23.749
,120.00,-23.671
,130.00,-23.602
,140.00,-23.52
,150.00,-23.443
,160.00,-23.341
,170.00,-23.307
,180.00,-23.217
,190.00,-23.206
,200.00,-23.171
,210.00,-23.156
,220.00,-23.097
,230.00,-23.058
,240.00,-22.925
,250.00,-22.877
,260.00,-22.913
,270.00,-22.904
,280.00,-22.916
,290.00,-22.88
,300.00,-22.839
,310.00,-22.842
,320.00,-22.782
,330.00,-22.749
,340.00,-22.692
,350.00,-22.654
,360.00,-22.676
,370.00,-22.508
,380.00,-22.49
,390.00,-22.491
,400.00,-22.464
,410.00,-22.654
,420.00,-22.635
,430.00,-22.734
,440.00,-22.836
,450.00,-22.915
,460.00,-23.029
,470.00,-23.1
,480.00,-23.269
,490.00,-23.311
,500.00,-23.409
,510.00,-23.345
,520.00,-23.517
,530.00,-23.658
,540.00,-23.673
,550.00,-23.776
,560.00,-23.796
,570.00,-23.81
,580.00,-23.82
,590.00,-23.832
,600.00,-23.854
,610.00,-23.854
,620.00,-23.876
,630.00,-23.928
,640.00,-23.887
,650.00,-23.861
,660.00,-23.793
,670.00,-23.807
,680.00,-23.785
,690.00,-23.758
,700.00,-23.721
,710.00,-23.717
,720.00,-23.71
,730.00,-23.691
,740.00,-23.697
,750.00,-23.708
,760.00,-23.77
,770.00,-23.802
,780.00,-23.917
,790.00,-24.015
,800.00,-24.095
,810.00,-24.134
,820.00,-24.263
,830.00,-24.351
,840.00,-24.453
,850.00,-24.554
,860.00,-24.613
,870.00,-24.685
,880.00,-24.723
,890.00,-24.841
,900.00,-24.918
,910.00,-25.078
,920.00,-25.183
,930.00,-25.286
,940.00,-25.425
,950.00,-25.528
,960.00,-25.593
,970.00,-25.702
,980.00,-25.761
,990.00,-25.819
,1000.00,-25.87
,1010.00,-25.952
,1020.00,-25.986
,1030.00,-26.076
,1040.00,-26.165
,1050.00,-26.236
,1060.00,-26.291
,1070.00,-26.309
,1080.00,-26.369
,1090.00,-26.468
,1100.00,-26.55
,1110.00,-26.606
,1120.00,-26.668
,1130.00,-26.727
,1140.00,-26.788
,1150.00,-26.842
,1160.00,-26.877
,1170.00,-26.908
,1180.00,-26.949
,1190.00,-26.928
,1200.00,-26.938
,1210.00,-26.912
,1220.00,-26.857
,1230.00,-26.866
,1240.00,-26.827
,1250.00,-26.773
,1260.00,-26.746
,1270.00,-26.724
,1280.00,-26.708
,1290.00,-26.667
,1300.00,-26.612
,1310.00,-26.571
,1320.00,-26.509
,1330.00,-26.458
,1340.00,-26.39
,1350.00,-26.359
,1360.00,-26.362
,1370.00,-26.376
,1380.00,-26.397
,1390.00,-26.396
,1400.00,-26.42
,1410.00,-26.453
,1420.00,-26.549
,1430.00,-26.629
,1440.00,-26.683
,1450.00,-26.732
,1460.00,-26.78
,1470.00,-26.848
,1480.00,-26.872
,1490.00,-26.877
,1500.00,-27.029
,1510.00,-27.133
,1520.00,-27.21
,1530.00,-27.31
,1540.00,-27.389
,1550.00,-27.487
,1560.00,-27.541
,1570.00,-27.598
,1580.00,-27.657
,1590.00,-27.681
,1600.00,-27.772
,1610.00,-27.776
,1620.00,-27.821
,1630.00,-27.843
,1640.00,-27.879
,1650.00,-27.948
,1660.00,-28.01
,1670.00,-28.036
,1680.00,-28.131
,1690.00,-28.208
,1700.00,-28.228
,1710.00,-28.282
,1720.00,-28.336
,1730.00,-28.34
,1740.00,-28.38
,1750.00,-28.426
,1760.00,-28.49
,1770.00,-28.567
,1780.00,-28.57
,1790.00,-28.603
,1800.00,-28.593
,1810.00,-28.576
,1820.00,-28.554
,1830.00,-28.493
,1840.00,-28.478
,1850.00,-28.422
,1860.00,-28.399
,1870.00,-28.355
,1880.00,-28.324
,1890.00,-28.272
,1900.00,-28.233
,1910.00,-28.185
,1920.00,-28.124
,1930.00,-28.06
,1940.00,-28.002
,1950.00,-27.926
,1960.00,-27.88
,1970.00,-27.835
,1980.00,-27.783
,1990.00,-27.747
,2000.00,-27.693
,2010.00,-27.737
,2020.00,-27.738
,2030.00,-27.773
,2040.00,-27.839
,2050.00,-27.858
,2060.00,-27.887
,2070.00,-27.917
,2080.00,-27.986
,2090.00,-28.019
,2100.00,-28.069
,2110.00,-28.137
,2120.00,-28.178
,2130.00,-28.211
,2140.00,-28.224
,2150.00,-28.324
,2160.00,-28.401
,2170.00,-28.491
,2180.00,-28.577
,2190.00,-28.628
,2200.00,-28.632
,2210.00,-28.555
,2220.00,-28.389
,2230.00,-28.276
,2240.00,-28.106
,2250.00,-27.972
,2260.00,-27.823
,2270.00,-27.647
,2280.00,-27.495
,2290.00,-27.376
,2300.00,-27.253
,2310.00,-27.087
,2320.00,-26.946
,2330.00,-26.78
,2340.00,-26.617
,2350.00,-26.514
,2360.00,-26.386
,2370.00,-26.257
,2380.00,-26.096
,2390.00,-25.978
,2400.00,-25.728
,2410.00,-25.59
,2420.00,-25.46
,2430.00,-25.266
,2440.00,-25.104
,2450.00,-24.885
,2460.00,-24.712
,2470.00,-24.53
,2480.00,-24.341
,2490.00,-24.182
,2500.00,-23.99
,2510.00,-23.787
,2520.00,-23.629
,2530.00,-23.432
,2540.00,-23.234
,2550.00,-23.066
,2560.00,-22.892
,2570.00,-22.792
,2580.00,-22.742
,2590.00,-22.687
,2600.00,-22.662
,2610.00,-22.675
,2620.00,-22.733
,2630.00,-22.803
,2640.00,-22.841
,2650.00,-22.955
