t_0,t,temperature
1:42:10,0.00,24.2
1:42:20,10.00,24.22
1:42:30,20.00,24.24
1:42:40,30.00,24.25
1:42:50,40.00,24.25
1:43:00,50.00,24.25
1:43:10,60.00,24.27
1:43:20,70.00,24.27
1:43:30,80.00,24.27
1:43:40,90.00,24.26
1:43:50,100.00,24.28
1:44:00,110.00,24.3
1:44:10,120.00,24.3
1:44:20,130.00,24.32
1:44:30,140.00,24.32
1:44:40,150.00,24.33
1:44:50,160.00,24.35
1:45:00,170.00,24.35
1:45:10,180.00,24.38
1:45:20,190.00,24.38
1:45:30,200.00,24.4
1:45:40,210.00,24.4
1:45:50,220.00,24.39
1:46:00,230.00,24.39
1:46:10,240.00,24.4
1:46:20,250.00,24.42
1:46:30,260.00,24.44
1:46:40,270.00,24.45
1:46:50,280.00,24.44
1:47:00,290.00,24.45
1:47:10,300.00,24.48
1:47:20,310.00,24.5
1:47:30,320.00,24.49
1:47:40,330.00,24.49
1:47:50,340.00,24.49
1:48:00,350.00,24.48
1:48:10,360.00,24.46
1:48:20,370.00,24.45
1:48:30,380.00,24.45
1:48:40,390.00,24.45
1:48:50,400.00,24.44
1:49:00,410.00,24.44
1:49:10,420.00,24.45
1:49:20,430.00,24.45
1:49:30,440.00,24.42
1:49:40,450.00,24.43
1:49:50,460.00,24.42
1:50:00,470.00,24.41
1:50:10,480.00,24.41
1:50:20,490.00,24.37
1:50:30,500.00,24.36
1:50:40,510.00,24.36
1:50:50,520.00,24.34
1:51:00,530.00,24.33
1:51:10,540.00,24.32
1:51:20,550.00,24.32
1:51:30,560.00,24.33
1:51:40,570.00,24.32
1:51:50,580.00,24.32
1:52:00,590.00,24.31
1:52:10,600.00,24.29
1:52:20,610.00,24.29
1:52:30,620.00,24.28
1:52:40,630.00,24.26
1:52:50,640.00,24.26
1:53:00,650.00,24.26
1:53:10,660.00,24.25
1:53:20,670.00,24.24
1:53:30,680.00,24.23
1:53:40,690.00,24.23
1:53:50,700.00,24.21
1:54:00,710.00,24.2
1:54:10,720.00,24.19
1:54:20,730.00,24.19
1:54:30,740.00,24.2
1:54:40,750.00,24.18
1:54:50,760.00,24.17
1:55:00,770.00,24.16
1:55:10,780.00,24.14
1:55:20,790.00,24.13
1:55:30,800.00,24.12
1:55:40,810.00,24.12
1:55:50,820.00,24.12
1:56:00,830.00,24.1
1:56:10,840.00,24.08
1:56:20,850.00,24.08
1:56:30,860.00,24.07
1:56:40,870.00,24.07
1:56:50,880.00,24.07
1:57:00,890.00,24.04
1:57:10,900.00,24.05
1:57:20,910.00,24.04
1:57:30,920.00,24.04
1:57:40,930.00,24.05
1:57:50,940.00,24.03
1:58:00,950.00,24.01
1:58:10,960.00,24
1:58:20,970.00,23.99
1:58:30,980.00,23.97
1:58:40,990.00,23.95
1:58:50,1000.00,23.96
1:59:00,1010.00,23.96
1:59:10,1020.00,23.94
1:59:20,1030.00,23.93
1:59:30,1040.00,23.94
1:59:40,1050.00,23.92
1:59:50,1060.00,23.89
2:00:00,1070.00,23.9
2:00:10,1080.00,23.91
2:00:20,1090.00,23.89
2:00:30,1100.00,23.91
2:00:40,1110.00,23.9
2:00:50,1120.00,23.9
2:01:00,1130.00,23.89
2:01:10,1140.00,23.87
2:01:20,1150.00,23.87
2:01:30,1160.00,23.85
2:01:40,1170.00,23.86
2:01:50,1180.00,23.85
2:02:00,1190.00,23.84
2:02:10,1200.00,23.85
2:02:20,1210.00,23.83
2:02:30,1220.00,23.82
2:02:40,1230.00,23.82
2:02:50,1240.00,23.82
2:03:00,1250.00,23.79
2:03:10,1260.00,23.79
2:03:20,1270.00,23.8
2:03:30,1280.00,23.79
2:03:40,1290.00,23.79
2:03:50,1300.00,23.78
2:04:00,1310.00,23.78
2:04:10,1320.00,23.78
2:04:20,1330.00,23.77
2:04:30,1340.00,23.76
2:04:40,1350.00,23.74
2:04:50,1360.00,23.74
2:05:00,1370.00,23.74
2:05:10,1380.00,23.73
2:05:20,1390.00,23.73
2:05:30,1400.00,23.71
2:05:40,1410.00,23.72
2:05:50,1420.00,23.71
2:06:00,1430.00,23.71
2:06:10,1440.00,23.7
2:06:20,1450.00,23.68
2:06:30,1460.00,23.67
2:06:40,1470.00,23.67
2:06:50,1480.00,23.67
2:07:00,1490.00,23.66
2:07:10,1500.00,23.66
2:07:20,1510.00,23.65
2:07:30,1520.00,23.64
2:07:40,1530.00,23.64
2:07:50,1540.00,23.64
2:08:00,1550.00,23.63
2:08:10,1560.00,23.61
2:08:20,1570.00,23.61
2:08:30,1580.00,23.62
2:08:40,1590.00,23.61
2:08:50,1600.00,23.6
2:09:00,1610.00,23.59
2:09:10,1620.00,23.59
2:09:20,1630.00,23.59
2:09:30,1640.00,23.56
2:09:40,1650.00,23.56
2:09:50,1660.00,23.54
2:10:00,1670.00,23.54
2:10:10,1680.00,23.55
2:10:20,1690.00,23.54
2:10:30,1700.00,23.54
2:10:40,1710.00,23.53
2:10:50,1720.00,23.52
2:11:00,1730.00,23.52
2:11:10,1740.00,23.51
2:11:20,1750.00,23.51
2:11:30,1760.00,23.49
2:11:40,1770.00,23.49
2:11:50,1780.00,23.5
2:12:00,1790.00,23.5
2:12:10,1800.00,23.49
2:12:20,1810.00,23.48
2:12:30,1820.00,23.47
2:12:40,1830.00,23.47
2:12:50,1840.00,23.46
2:13:00,1850.00,23.46
2:13:10,1860.00,23.45
2:13:20,1870.00,23.45
2:13:30,1880.00,23.45
2:13:40,1890.00,23.45
2:13:50,1900.00,23.44
2:14:00,1910.00,23.43
2:14:10,1920.00,23.44
2:14:20,1930.00,23.43
2:14:30,1940.00,23.41
2:14:40,1950.00,23.41
2:14:50,1960.00,23.42
2:15:00,1970.00,23.42
2:15:10,1980.00,23.42
2:15:20,1990.00,23.42
2:15:30,2000.00,23.38
2:15:40,2010.00,23.38
2:15:50,2020.00,23.39
2:16:00,2030.00,23.39
2:16:10,2040.00,23.38
2:16:20,2050.00,23.38
2:16:30,2060.00,23.37
2:16:40,2070.00,23.35
2:16:50,2080.00,23.34
2:17:00,2090.00,23.34
