t_o,time,temperature
0:00:00,0,-0.67
0:00:10,10,-0.92
0:00:20,20,-1.096
0:00:30,30,-1.358
0:00:40,40,-1.73
0:00:50,50,-2.011
0:01:00,60,-2.235
0:01:10,70,
0:01:20,80,-2.076
0:01:30,90,-1.84
0:01:40,100,-1.724
0:01:50,110,-1.583
0:02:00,120,-1.406
0:02:10,130,-1.303
0:02:20,140,-1.176
0:02:30,150,-1.027
0:02:40,160,-0.832
0:02:50,170,-0.618
0:03:00,180,-0.419
0:03:10,190,-0.318
0:03:20,200,-0.123
0:03:30,210,-0.012
0:03:40,220,0.094
0:03:50,230,0.192
0:04:00,240,0.406
0:04:10,250,0.567
0:04:20,260,0.69
0:04:30,270,0.727
0:04:40,280,0.911
0:04:50,290,1.121
0:05:00,300,1.196
0:05:10,310,1.335
0:05:20,320,1.48
0:05:30,330,1.617
0:05:40,340,1.732
0:05:50,350,1.885
0:06:00,360,2.024
0:06:10,370,2.153
0:06:20,380,2.284
0:06:30,390,2.409
0:06:40,400,2.518
0:06:50,410,2.639
0:07:00,420,2.758
0:07:10,430,2.879
0:07:20,440,3.018
0:07:30,450,3.134
0:07:40,460,3.238
0:07:50,470,3.381
0:08:00,480,3.509
0:08:10,490,3.62
0:08:20,500,3.747
0:08:30,510,3.875
0:08:40,520,3.983
0:08:50,530,4.093
0:09:00,540,4.221
0:09:10,550,4.319
0:09:20,560,4.44
0:09:30,570,4.548
0:09:40,580,4.654
0:09:50,590,4.716
0:10:00,600,4.74
0:10:10,610,4.632
0:10:20,620,4.492
0:10:30,630,4.416
0:10:40,640,4.352
0:10:50,650,4.171
0:11:00,660,3.851
0:11:10,670,3.53
0:11:20,680,3.299
0:11:30,690,3.294
0:11:40,700,3.189
0:11:50,710,3.325
0:12:00,720,3.31
0:12:10,730,3.533
0:12:20,740,3.577
0:12:30,750,3.474
0:12:40,760,3.69
0:12:50,770,3.776
0:13:00,780,3.648
0:13:10,790,3.744
0:13:20,800,3.924
0:13:30,810,4.004
0:13:40,820,4.018
0:13:50,830,4.134
0:14:00,840,4.215
0:14:10,850,4.236
0:14:20,860,4.25
0:14:30,870,4.367
0:14:40,880,4.468
0:14:50,890,4.5
0:15:00,900,4.554
0:15:10,910,4.621
0:15:20,920,4.662
0:15:30,930,4.738
0:15:40,940,4.811
0:15:50,950,4.906
0:16:00,960,4.914
0:16:10,970,4.984
0:16:20,980,5.101
0:16:30,990,5.168
0:16:40,1000,5.209
0:16:50,1010,5.263
0:17:00,1020,5.315
0:17:10,1030,5.382
0:17:20,1040,5.482
0:17:30,1050,5.516
0:17:40,1060,5.584
0:17:50,1070,5.644
0:18:00,1080,5.717
0:18:10,1090,5.776
0:18:20,1100,5.853
0:18:30,1110,5.908
0:18:40,1120,6.008
0:18:50,1130,6.07
0:19:00,1140,6.115
0:19:10,1150,6.189
0:19:20,1160,6.263
0:19:30,1170,6.319
0:19:40,1180,6.404
0:19:50,1190,6.474
0:20:00,1200,6.507
0:20:10,1210,6.471
0:20:20,1220,6.331
0:20:30,1230,6.179
0:20:40,1240,6.014
0:20:50,1250,5.93
0:21:00,1260,5.791
0:21:10,1270,5.474
0:21:20,1280,5.07
0:21:30,1290,4.794
0:21:40,1300,4.587
0:21:50,1310,4.664
0:22:00,1320,4.501
0:22:10,1330,4.43
0:22:20,1340,4.68
0:22:30,1350,4.798
0:22:40,1360,4.816
0:22:50,1370,4.874
0:23:00,1380,5.043
0:23:10,1390,5.041
0:23:20,1400,5.021
0:23:30,1410,5.098
0:23:40,1420,4.986
0:23:50,1430,4.957
0:24:00,1440,5.019
0:24:10,1450,5.154
0:24:20,1460,5.102
0:24:30,1470,5.17
0:24:40,1480,5.293
0:24:50,1490,5.31
0:25:00,1500,5.346
0:25:10,1510,5.322
0:25:20,1520,5.353
0:25:30,1530,5.437
0:25:40,1540,5.422
0:25:50,1550,5.502
0:26:00,1560,5.552
0:26:10,1570,5.62
0:26:20,1580,5.647
0:26:30,1590,5.673
0:26:40,1600,5.691
0:26:50,1610,5.73
0:27:00,1620,5.751
0:27:10,1630,5.768
0:27:20,1640,5.788
0:27:30,1650,5.835
