"","Channel 7 Ave. (C)"
"00:00:00","-0.670"
"00:00:10","-0.920"
"00:00:20","-1.096"
"00:00:30","-1.358"
"00:00:40","-1.730"
"00:00:50","-2.011"
"00:01:00","-2.235"
"00:01:10",""
"00:01:20","-2.076"
"00:01:30","-1.840"
"00:01:40","-1.724"
"00:01:50","-1.583"
"00:02:00","-1.406"
"00:02:10","-1.303"
"00:02:20","-1.176"
"00:02:30","-1.027"
"00:02:40","-0.832"
"00:02:50","-0.618"
"00:03:00","-0.419"
"00:03:10","-0.318"
"00:03:20","-0.123"
"00:03:30","-0.012"
"00:03:40","0.094"
"00:03:50","0.192"
"00:04:00","0.406"
"00:04:10","0.567"
"00:04:20","0.690"
"00:04:30","0.727"
"00:04:40","0.911"
"00:04:50","1.121"
"00:05:00","1.196"
"00:05:10","1.335"
"00:05:20","1.480"
"00:05:30","1.617"
"00:05:40","1.732"
"00:05:50","1.885"
"00:06:00","2.024"
"00:06:10","2.153"
"00:06:20","2.284"
"00:06:30","2.409"
"00:06:40","2.518"
"00:06:50","2.639"
"00:07:00","2.758"
"00:07:10","2.879"
"00:07:20","3.018"
"00:07:30","3.134"
"00:07:40","3.238"
"00:07:50","3.381"
"00:08:00","3.509"
"00:08:10","3.620"
"00:08:20","3.747"
"00:08:30","3.875"
"00:08:40","3.983"
"00:08:50","4.093"
"00:09:00","4.221"
"00:09:10","4.319"
"00:09:20","4.440"
"00:09:30","4.548"
"00:09:40","4.654"
"00:09:50","4.716"
"00:10:00","4.740"
"00:10:10","4.632"
"00:10:20","4.492"
"00:10:30","4.416"
"00:10:40","4.352"
"00:10:50","4.171"
"00:11:00","3.851"
"00:11:10","3.530"
"00:11:20","3.299"
"00:11:30","3.294"
"00:11:40","3.189"
"00:11:50","3.325"
"00:12:00","3.310"
"00:12:10","3.533"
"00:12:20","3.577"
"00:12:30","3.474"
"00:12:40","3.690"
"00:12:50","3.776"
"00:13:00","3.648"
"00:13:10","3.744"
"00:13:20","3.924"
"00:13:30","4.004"
"00:13:40","4.018"
"00:13:50","4.134"
"00:14:00","4.215"
"00:14:10","4.236"
"00:14:20","4.250"
"00:14:30","4.367"
"00:14:40","4.468"
"00:14:50","4.500"
"00:15:00","4.554"
"00:15:10","4.621"
"00:15:20","4.662"
"00:15:30","4.738"
"00:15:40","4.811"
"00:15:50","4.906"
"00:16:00","4.914"
"00:16:10","4.984"
"00:16:20","5.101"
"00:16:30","5.168"
"00:16:40","5.209"
"00:16:50","5.263"
"00:17:00","5.315"
"00:17:10","5.382"
"00:17:20","5.482"
"00:17:30","5.516"
"00:17:40","5.584"
"00:17:50","5.644"
"00:18:00","5.717"
"00:18:10","5.776"
"00:18:20","5.853"
"00:18:30","5.908"
"00:18:40","6.008"
"00:18:50","6.070"
"00:19:00","6.115"
"00:19:10","6.189"
"00:19:20","6.263"
"00:19:30","6.319"
"00:19:40","6.404"
"00:19:50","6.474"
"00:20:00","6.507"
"00:20:10","6.471"
"00:20:20","6.331"
"00:20:30","6.179"
"00:20:40","6.014"
"00:20:50","5.930"
"00:21:00","5.791"
"00:21:10","5.474"
"00:21:20","5.070"
"00:21:30","4.794"
"00:21:40","4.587"
"00:21:50","4.664"
"00:22:00","4.501"
"00:22:10","4.430"
"00:22:20","4.680"
"00:22:30","4.798"
"00:22:40","4.816"
"00:22:50","4.874"
"00:23:00","5.043"
"00:23:10","5.041"
"00:23:20","5.021"
"00:23:30","5.098"
"00:23:40","4.986"
"00:23:50","4.957"
