t,V,I
0,,
10,3.40271,0.598139
20,3.509,1.19716
30,3.60313,1.65583
40,3.68696,2.10411
50,3.79297,2.70772
60,3.91819,
70,3.95678,
80,3.98083,3.04261
90,4.001,3.05308
100,4.01613,3.05663
110,4.02894,3.08752
120,4.03824,3.10597
130,4.04547,3.11155
140,4.05112,3.11035
150,4.05628,3.11497
160,4.06069,3.11388
170,4.06456,
180,4.0531,
190,4.05557,3.08781
200,4.05933,3.0836
210,4.06339,3.11146
220,4.0671,3.09152
230,4.0707,3.09667
240,4.07475,3.09956
250,4.07873,3.09034
260,4.08068,3.09937
270,4.08391,3.0907
280,4.08632,
290,4.07599,
300,4.07894,3.06644
310,4.07885,3.06882
320,4.08218,3.07796
330,4.08531,3.05534
340,4.08855,3.06213
350,4.09432,3.05945
360,4.10246,3.05626
370,4.10523,3.05801
380,4.10362,3.05772
390,4.10438,
400,4.10384,
410,4.11126,3.00216
420,4.11517,3.01126
430,4.11901,3.01477
440,4.12171,3.02884
450,4.12504,3.03597
460,4.12781,3.03141
470,4.13105,3.02284
480,4.1337,3.02822
490,4.13661,3.02578
500,4.13913,3.02983
510,4.1427,3.04452
520,4.14537,3.04662
530,4.14787,3.0442
540,4.15079,3.04571
550,4.15287,3.04201
560,4.15543,3.04539
570,4.15768,
580,4.15861,
590,4.16098,2.95809
600,4.16313,2.97636
610,4.16522,2.98999
620,4.16797,3.01192
630,4.17058,3.01053
640,4.17279,3.01293
650,4.17437,3.01109
660,4.17729,3.0131
670,4.17949,3.01156
680,4.18224,3.01138
690,4.18578,3.00993
700,4.186,3.00593
710,4.18852,3.00387
720,4.19166,3.00255
730,4.19349,3.00163
740,4.19604,3.00671
750,4.19862,3.00663
760,4.20122,3.00867
770,4.20377,3.00509
780,4.20666,3.00833
790,4.20954,3.01103
800,4.21045,
810,4.21319,3.01548
820,4.21589,3.0025
830,4.21863,3.00469
840,4.22155,3.00561
850,4.22494,3.00818
860,4.22787,3.00931
870,4.23002,3.00701
880,4.23328,3.00568
890,4.23647,3.00543
